Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2019-10-30,HOU,WAS,W 159-158,240,55,103,.534,32,49,.653,23,54,.426,26,33,.788,159,57,91,.626,37,55,.673,20,36,.556,24,29,.828,158
2019-10-30,WAS,HOU,L 158-159,240,57,91,.626,37,55,.673,20,36,.556,24,29,.828,158,55,103,.534,32,49,.653,23,54,.426,26,33,.788,159
2019-11-30,HOU,ATL,W 158-111,240,52,89,.584,27,38,.711,25,51,.490,29,34,.853,158,38,89,.427,23,43,.535,15,46,.326,20,25,.800,111
2019-11-16,LAC,ATL,W 150-101,240,50,93,.538,33,60,.550,17,33,.515,33,35,.943,150,34,90,.378,28,66,.424,6,24,.250,27,37,.730,101
2019-12-01,LAC,WAS,W 150-125,240,52,94,.553,38,62,.613,14,32,.438,32,40,.800,150,47,102,.461,36,72,.500,11,30,.367,20,27,.741,125
2019-12-23,SAS,MEM,W 145-115,240,60,89,.674,45,65,.692,15,24,.625,10,14,.714,145,45,96,.469,30,59,.508,15,37,.405,10,16,.625,115
2019-11-22,DAL,CLE,W 143-101,240,58,100,.580,38,63,.603,20,37,.541,7,9,.778,143,37,86,.430,25,57,.439,12,29,.414,15,17,.882,101
2019-12-17,NYK,ATL,W 143-120,240,53,95,.558,40,67,.597,13,28,.464,24,31,.774,143,45,99,.455,30,56,.536,15,43,.349,15,20,.750,120
2019-11-20,DAL,GSW,W 142-94,240,51,90,.567,29,52,.558,22,38,.579,18,23,.783,142,35,90,.389,27,63,.429,8,27,.296,16,25,.640,94
2019-12-08,LAL,MIN,W 142-125,240,55,94,.585,41,63,.651,14,31,.452,18,20,.900,142,44,84,.524,29,47,.617,15,37,.405,22,26,.846,125
2019-10-24,LAC,GSW,W 141-122,240,50,80,.625,32,48,.667,18,32,.563,23,30,.767,141,39,99,.394,24,57,.421,15,42,.357,29,30,.967,122
2019-12-07,PHI,CLE,W 141-94,240,57,90,.633,46,64,.719,11,26,.423,16,23,.696,141,36,96,.375,27,61,.443,9,35,.257,13,17,.765,94
2019-12-28,DAL,GSW,W 141-121,240,48,92,.522,24,41,.585,24,51,.471,21,21,1.000,141,45,93,.484,27,54,.500,18,39,.462,13,17,.765,121
